PLAYER NAME             KILLS   DEATHS     KDR   PLAYED WITH CHAMPION(S)
Freakout960                 6        1    6.00   Garen
GooberLOL                   6        1    6.00   Akali
J2Ob                        6        1    6.00   Nunu
LisaY                       6        1    6.00   Amumu
MNSuntime                   6        1    6.00   Malzahar
NakedPrince                 6        1    6.00   Annie
Phant0mRing                 6        1    6.00   Graves
SAGANewType                 6        1    6.00   Malphite
SRT                         6        1    6.00   Warwick
Saaaya                      6        1    6.00   Lucian
SerGregness                 6        1    6.00   Sion
SlapYoWang                  6        1    6.00   Corki
SodaSama                    6        1    6.00   Fizz
TETMountainDew              6        1    6.00   Hecarim
TheOriginalAngry            6        1    6.00   Malphite
UberSayan                   6        1    6.00   Malzahar
UltimaFighter               6        1    6.00   Viktor
WEGIGABYTECaoMe1            6        1    6.00   Sion
Xarkune                     6        1    6.00   Hecarim
gopplet                     6        1    6.00   Taric
grimmjowsshow               6        1    6.00   Fiora
k1lla1ot                    6        1    6.00   Ziggs
ryanzy93                    6        1    6.00   Malphite
samrick41                   6        1    6.00   Volibear
seri713                     6        1    6.00   Swain
squirT0T                    6        1    6.00   Amumu
theblackmagicx              6        1    6.00   Ahri
x1xdeathx1x                 6        1    6.00   Nasus
XXXXxXxXX                  35        6    5.83   MasterYi
mormonninja                29        5    5.80   Talon
Chastety                   23        4    5.75   Draven
FourElements88             23        4    5.75   LeBlanc
KyleisSimple               23        4    5.75   Vayne
RostSunshine               23        4    5.75   Graves
gyugi                      23        4    5.75   Kalista
Healsong1                  17        3    5.67   Ezreal
SoulPerformer              17        3    5.67   Fizz
Tankiki                    17        3    5.67   Caitlyn
TheRebelINS                17        3    5.67   Hecarim
bumpybeanbag               17        3    5.67   Lucian
tacofakie                  17        3    5.67   Graves
K1NGParm                   28        5    5.60   Zed
ROFLSTOMPSAURUS            28        5    5.60   Twitch
CWongWanster               22        4    5.50   Corki
sun2                       22        4    5.50   Graves
ArturilloLokillo           11        2    5.50   Draven
Atrydes                    11        2    5.50   Lux
BinarySystem               11        2    5.50   Lissandra
Bunskiee                   11        2    5.50   Vi
CloudedCode                11        2    5.50   Akali
GirlsDayHyeri              11        2    5.50   Ahri
Herezb                     11        2    5.50   MasterYi
LincIsYourGod              11        2    5.50   Fiddlesticks
MeiguocaiB                 11        2    5.50   Draven
Mokuso                     11        2    5.50   Zed
NiceShot                   11        2    5.50   Amumu
NinjaMelvanis              11        2    5.50   Lux
NomuGosu                   11        2    5.50   Annie
Parrrleyy                  11        2    5.50   Yasuo
QuantumSoIace              11        2    5.50   Ashe
Sereade                    11        2    5.50   Irelia
Taeryanor                  11        2    5.50   Sion
Whisper87                  11        2    5.50   Corki
dubrat                     11        2    5.50   Sivir
grazer                     11        2    5.50   LeBlanc
hei122                     11        2    5.50   Graves
killerfly                  11        2    5.50   Viktor
owenbaek                   11        2    5.50   Graves
ravencool                  11        2    5.50   Lucian
supanooba                  11        2    5.50   Morgana
shimpthepimp               27        5    5.40   Ahri
ChildOfLight               16        3    5.33   Lux
ToxinReign                 16        3    5.33   Ezreal
VoxClouds                  16        3    5.33   Heimerdinger
albithercstdrgn            16        3    5.33   Ezreal
renshengyingjia            16        3    5.33   Lucian
DeviIsRage                 21        4    5.25   Cho'Gath
iTzTsukasa                 26        5    5.20   Teemo
Sq2                        20        4    5.00   Nocturne
xDviTaMinS                 20        4    5.00   Katarina
DEATHP00L                  15        3    5.00   Amumu
Exadin                     15        3    5.00   Udyr
Raj007                     15        3    5.00   Varus
Slaiyan                    15        3    5.00   Fizz
U3Z                        15        3    5.00   Fiora
christian1011              15        3    5.00   Gangplank
kingjob                    15        3    5.00   Swain
minh10pm                   15        3    5.00   XinZhao
xiaoran                    15        3    5.00   Diana
Astinaus                   10        2    5.00   Aatrox
BlindDarkness              10        2    5.00   Fizz
CleanupCruise              10        2    5.00   MasterYi
FocalxPoint                10        2    5.00   Ezreal
HyperCarryYou              10        2    5.00   Sejuani
IamDJPaulyD                10        2    5.00   Irelia
JuGgI3r                    10        2    5.00   Morgana
Kelview                    10        2    5.00   Nocturne
Khegz                      10        2    5.00   JarvanIV
Lambohr                    10        2    5.00   Anivia
Mercurys                   10        2    5.00   Kalista
MissJaff                   10        2    5.00   Riven
Mordo                      10        2    5.00   Gragas
REALGODFATHER              10        2    5.00   XinZhao
RoltonCussell              10        2    5.00   Riven
Roosterman32               10        2    5.00   Kalista
Samwise00                  10        2    5.00   Rek'Sai
StereoHearts               10        2    5.00   Nautilus
Terowyn                    10        2    5.00   Brand
TheQueefCannon             10        2    5.00   Malzahar
Wz5DBonnie                 10        2    5.00   Morgana
X1ng                       10        2    5.00   Vayne
emjzballn1                 10        2    5.00   Ezreal
iMrZero                    10        2    5.00   Vladimir
iimanbear                  10        2    5.00   Renekton
lEel                       10        2    5.00   Riven
rexhan0103                 10        2    5.00   Riven
sirWogian                  10        2    5.00   Diana
solo904bank                10        2    5.00   Ashe
yourfathergg               10        2    5.00   Jinx
AkeOTNB                     5        0    5.00   Jinx
ChimeraActual               5        0    5.00   Amumu
DownatMcdonalds             5        0    5.00   Graves
Dtrain3d                    5        0    5.00   Malzahar
FUDGEpana                   5        0    5.00   Pantheon
Findacure4autism            5        0    5.00   Corki
Fittietucker                5        0    5.00   Udyr
KentaroOe                   5        0    5.00   Jax
Kesuma                      5        0    5.00   Sivir
LAGGGGGGG                   5        0    5.00   Sona
Lancelote                   5        0    5.00   Vayne
Makerell                    5        0    5.00   Sejuani
MiNerd                      5        0    5.00   Rengar
PrillzDaTyga                5        0    5.00   JarvanIV
RYANLEADS                   5        0    5.00   Shyvana
RunSabre                    5        0    5.00   Malzahar
Sheyitan                    5        0    5.00   Draven
TheWiseSage                 5        0    5.00   Annie
ZetN                        5        0    5.00   Morgana
bw999                       5        0    5.00   Evelynn
sodiumcarbonate             5        0    5.00   Anivia
xixili                      5        0    5.00   Ezreal
B1GGULPSHUH                 5        1    5.00   JarvanIV
BZG                         5        1    5.00   Riven
BruceDShark                 5        1    5.00   Cho'Gath
Cekrit                      5        1    5.00   Lucian
DatGuyPwns                  5        1    5.00   Udyr
DoubleSwag                  5        1    5.00   Leona
Dunn000                     5        1    5.00   Jinx
EarlSweatshiirt             5        1    5.00   Amumu
ExcitonKnight               5        1    5.00   Udyr
FAMILYGUYxLOL               5        1    5.00   Hecarim
Gotoeat                     5        1    5.00   Ezreal
Grohlvana                   5        1    5.00   Zac
IceKreamSandwich            5        1    5.00   TwistedFate
Ironblood                   5        1    5.00   Cho'Gath
KalenR                      5        1    5.00   Udyr
KenpachiKuchiki             5        1    5.00   Vladimir
KneeoftheBee                5        1    5.00   Nunu
MarsDuang                   5        1    5.00   Jinx
MattJeff10                  5        1    5.00   Lucian
Mikasa104th                 5        1    5.00   Malzahar
Mindglimpse                 5        1    5.00   Malzahar
MortisDespicio              5        1    5.00   Nami
NanoSenpai                  5        1    5.00   Zed
Neksu                       5        1    5.00   Lulu
NoodlesIKrave               5        1    5.00   Shen
NuiztheADC                  5        1    5.00   Teemo
OSNosmium                   5        1    5.00   Irelia
Obi1conknowbe               5        1    5.00   Jinx
PleaseStopRaging            5        1    5.00   Blitzcrank
RageThyReaper               5        1    5.00   Maokai
RobGoblin                   5        1    5.00   Sivir
RubbishFC                   5        1    5.00   LeeSin
SeLanmere                   5        1    5.00   Vladimir
Shawnnnnn                   5        1    5.00   XinZhao
Thuaniskool                 5        1    5.00   Cho'Gath
TinyDaisy                   5        1    5.00   Annie
UnboltedNails               5        1    5.00   Tristana
aletzander                  5        1    5.00   MissFortune
d0nk3y                      5        1    5.00   Tristana
dancy123                    5        1    5.00   Renekton
dbdambaedb                  5        1    5.00   Ahri
hamboy4                     5        1    5.00   Xerath
